2024-05-07 22:08:36,756 INFO  [main] com.tpe.SpringbootintroApplication:Starting SpringbootintroApplication using Java 21.0.1 on Dell with PID 24788 (C:\Users\adikb\Downloads\springbootintro\springbootintro\target\classes started by adikb in C:\Users\adikb\Downloads\springbootintro)
2024-05-07 22:08:36,758 INFO  [main] com.tpe.SpringbootintroApplication:No active profile set, falling back to default profiles: default
2024-05-07 22:08:37,871 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-07 22:08:37,916 INFO  [main] org.springframework.data.repository.config.RepositoryConfigurationDelegate:Finished Spring Data repository scanning in 37 ms. Found 1 JPA repository interfaces.
2024-05-07 22:08:38,612 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer:Tomcat initialized with port(s): 8081 (http)
2024-05-07 22:08:38,622 INFO  [main] org.apache.catalina.core.StandardService:Starting service [Tomcat]
2024-05-07 22:08:38,623 INFO  [main] org.apache.catalina.core.StandardEngine:Starting Servlet engine: [Apache Tomcat/9.0.56]
2024-05-07 22:08:38,719 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:Initializing Spring embedded WebApplicationContext
2024-05-07 22:08:38,720 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:Root WebApplicationContext: initialization completed in 1891 ms
2024-05-07 22:08:39,131 INFO  [main] org.hibernate.jpa.internal.util.LogHelper:HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-07 22:08:39,230 INFO  [main] org.hibernate.Version:HHH000412: Hibernate ORM core version 5.6.4.Final
2024-05-07 22:08:39,466 INFO  [main] org.hibernate.annotations.common.Version:HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2024-05-07 22:08:39,594 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Starting...
2024-05-07 22:08:39,836 INFO  [main] com.zaxxer.hikari.HikariDataSource:HikariPool-1 - Start completed.
2024-05-07 22:08:39,862 INFO  [main] org.hibernate.dialect.Dialect:HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2024-05-07 22:08:40,581 INFO  [main] org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator:HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
